number,regular_evaluations,ffi_evaluations
269,0.512959,0.0053750000000000004
270,0.634958,0.005167
271,0.545708,0.004875
272,0.49037500000000006,0.004916
273,0.501208,0.005125
274,0.516833,0.004875
275,0.581584,0.005458
276,0.737625,0.005
277,0.59975,0.0050409999999999995
278,0.5630000000000001,0.0048330000000000005
279,0.7305,0.004916
280,0.6573749999999999,0.0053750000000000004
281,0.551167,0.004958
282,0.540792,0.004916
283,0.6377499999999999,0.004792
284,0.523666,0.0049169999999999995
285,0.6873750000000001,0.005
286,0.546417,0.004834
287,0.722,0.005917
288,0.5600409999999999,0.0049169999999999995
289,0.7035840000000001,0.0054589999999999994
290,0.596167,0.006459
291,0.476834,0.005208999999999999
292,0.579708,0.004875
293,0.541875,0.005
294,0.529041,0.004958
295,0.7667499999999999,0.004875
296,0.648625,0.0049169999999999995
297,0.565666,0.005125
298,0.5436249999999999,0.005332999999999999
299,0.519292,0.005334
300,0.581209,0.004959
301,0.577292,0.005125
302,1.300542,0.007125
303,0.752833,0.0054589999999999994
304,0.550583,0.0050420000000000005
305,0.548708,0.005
306,0.538917,0.005083000000000001
307,0.646875,0.005708
308,0.5494589999999999,0.005458
309,0.495792,0.005084
310,0.51075,0.005084
311,0.67975,0.005
312,0.539375,0.0052499999999999995
313,0.5581670000000001,0.005083000000000001
314,0.596375,0.006167000000000001
315,0.521084,0.004959
316,0.5706659999999999,0.005125
317,0.5389579999999999,0.005083000000000001
318,0.489125,0.0048330000000000005
319,0.5119579999999999,0.0051660000000000005
320,0.72075,0.005208
321,0.553708,0.004916
322,0.570083,0.0048330000000000005
323,0.542666,0.004916
324,0.516125,0.0051660000000000005
325,0.531042,0.005
326,0.5273329999999999,0.005291
327,0.5965,0.0048330000000000005
328,0.5567909999999999,0.0050409999999999995
329,0.5724159999999999,0.0050420000000000005
330,0.6348750000000001,0.004875
331,0.537416,0.005332999999999999
332,0.5907910000000001,0.005125
333,0.508,0.004916
334,0.478958,0.0049169999999999995
335,0.913042,0.004834
336,0.560625,0.0053750000000000004
337,0.553875,0.0049169999999999995
338,0.6105830000000001,0.004834
339,0.669166,0.004958
340,0.50175,0.004958
341,0.605,0.005416000000000001
342,0.509292,0.004875
343,0.5486249999999999,0.005208999999999999
344,0.5429579999999999,0.005125
345,0.6651670000000001,0.0048330000000000005
346,0.5730000000000001,0.004916
347,0.47,0.0053750000000000004
348,0.5640419999999999,0.005
349,0.5437919999999999,0.005292000000000001
350,0.5367500000000001,0.004834
351,0.610833,0.0050420000000000005
352,0.546291,0.0049169999999999995
353,1.148458,0.0048330000000000005
354,0.665834,0.004792
355,0.6457080000000001,0.0050420000000000005
356,0.561292,0.005084
357,0.589958,0.0049169999999999995
358,0.744667,0.004791
359,0.623958,0.005666
360,0.6987500000000001,0.0051660000000000005
361,0.5417500000000001,0.005083000000000001
362,0.580541,0.005709
363,0.648583,0.005292000000000001
364,0.5885,0.006125
365,0.6122080000000001,0.0055
366,0.492667,0.005125
367,0.49033400000000005,0.005541
368,0.5166660000000001,0.005291
369,0.562584,0.005541
370,0.467708,0.0053750000000000004
371,0.583292,0.005541
372,0.596917,0.0052499999999999995
373,0.568167,0.0050409999999999995
374,0.556291,0.005
